,edit_count,sentiment,negative_sentiment
2014-06-07,0.03333333333333333,0.03252765734990438,0.0
2014-06-08,0.03333333333333333,0.03252765734990438,0.0
2014-06-09,0.03333333333333333,0.03252765734990438,0.0
2014-06-10,0.06666666666666667,0.06584482987721761,0.0
2014-06-11,0.06666666666666667,0.06584482987721761,0.0
2014-06-12,0.06666666666666667,0.06584482987721761,0.0
2014-06-13,0.06666666666666667,0.06584482987721761,0.0
2014-06-14,0.06666666666666667,0.06584482987721761,0.0
2014-06-15,0.06666666666666667,0.06584482987721761,0.0
2014-06-16,0.06666666666666667,0.06584482987721761,0.0
2014-06-17,0.06666666666666667,0.06584482987721761,0.0
2014-06-18,0.06666666666666667,0.06584482987721761,0.0
2014-06-19,0.06666666666666667,0.06584482987721761,0.0
2014-06-20,0.06666666666666667,0.06584482987721761,0.0
