trading_point,open,high,low,close,volume
2018-05-26,602.61,604.44,600.51,601.2,82.24
2018-05-26,585.0,587.99,581.01,585.65,330.89
2018-05-26,596.97,597.65,582.22,585.0,1193.4
2018-05-26,599.73,607.66,593.15,596.97,595.14
2018-05-26,599.91,600.0,598.11,599.73,136.47
2018-05-26,602.99,602.99,597.71,599.91,149.14
2018-05-26,603.4,604.73,601.98,602.99,40.62
2018-05-26,601.43,604.87,599.66,603.4,171.79
2018-05-26,602.76,604.5,598.23,601.43,332.3
2018-05-26,597.7,604.71,597.61,602.61,96.28
2018-05-26,601.2,604.85,600.63,602.76,308.03
2018-05-26,599.06,601.48,595.45,597.7,341.64
2018-05-26,582.55,591.02,582.27,588.66,224.89
2018-05-26,588.66,588.66,580.22,584.0,331.99
2018-05-26,584.0,587.62,580.54,586.23,464.73
2018-05-26,586.23,587.18,580.89,582.02,405.36
2018-05-26,582.02,588.97,582.02,587.37,81.99
2018-05-26,584.99,585.48,578.84,582.55,713.62
2018-05-26,587.95,607.7,587.1,599.1,958.32
2018-05-26,587.37,590.66,585.45,587.95,511.57
2018-05-26,599.2,601.25,593.48,599.09,196.98
2018-05-26,599.09,603.37,598.94,599.06,87.7
2018-05-26,599.1,602.0,599.0,601.55,1096.49
2018-05-26,601.55,603.0,599.15,599.2,177.31
2018-05-27,574.34,574.34,563.23,565.72,1938.7
2018-05-27,569.88,571.4,569.11,571.39,137.32
2018-05-27,565.84,569.88,564.06,569.88,86.36
2018-05-27,562.04,566.07,559.32,565.84,85.17
2018-05-27,559.64,560.57,558.01,560.36,132.98
2018-05-27,570.82,572.15,556.92,559.64,793.03
2018-05-27,569.96,571.5,567.6,570.82,148.47
2018-05-27,571.99,572.17,568.51,569.96,209.25
2018-05-27,570.73,572.73,569.88,571.99,634.18
2018-05-27,565.72,573.99,563.76,570.73,921.75
2018-05-27,560.36,564.43,560.36,562.04,87.29
2018-05-27,575.21,576.63,572.4,575.88,428.13
2018-05-27,576.55,577.33,570.26,575.21,1023.54
2018-05-27,576.46,577.32,572.47,576.55,533.6
2018-05-27,587.07,587.99,571.57,576.46,987.8
2018-05-27,583.99,592.88,581.74,587.07,659.01
2018-05-27,581.98,583.99,579.5,583.99,57.35
2018-05-27,581.99,583.75,578.63,581.98,83.32
2018-05-27,581.95,584.99,580.99,581.99,53.23
2018-05-27,584.37,584.37,579.0,581.95,168.83
2018-05-27,583.0,587.26,582.22,584.37,1163.27
2018-05-27,582.99,585.58,580.12,583.0,387.01
2018-05-27,585.65,585.99,577.1,582.99,671.71
2018-05-27,575.88,576.68,572.14,574.34,554.98
2018-05-28,535.35,536.5,527.1,529.99,403.19
2018-05-28,529.99,533.65,528.39,531.99,456.57
2018-05-28,531.99,532.99,527.22,529.74,197.0
2018-05-28,529.74,529.74,524.2,527.18,974.68
2018-05-28,518.02,518.47,511.11,512.23,548.31
2018-05-28,522.0,530.82,522.0,527.34,359.91
2018-05-28,527.34,528.79,523.43,523.76,242.81
2018-05-28,523.76,524.97,515.2,515.84,827.56
