trading_point,open,high,low,close,volume
2021-03-24,1668.38,1739.61,1520.0,1582.94,164490635.3610794
2021-03-25,1581.08,1680.0,1549.15,1586.26,79300288.50880529
2021-03-26,1586.48,1701.29,1586.48,1699.37,90886192.640318
2021-03-27,1700.28,1732.5,1666.57,1713.6,57574954.47809548
2021-03-28,1714.07,1725.64,1661.79,1686.5,38456992.02106627
2021-03-29,1686.84,1842.0,1676.32,1817.22,89367949.27492607
2021-03-30,1816.61,1860.2,1785.6,1842.12,68838596.40113926
2021-03-31,1842.06,1947.49,1770.18,1917.91,102062084.68865822
2021-04-01,1922.85,1982.0,1884.88,1967.82,77111101.93278565
2021-04-02,1968.46,2144.99,1949.77,2134.56,120485601.00100404
2021-04-03,2135.74,2138.26,1996.16,2008.28,80383813.55413681
2021-04-04,2007.75,2092.58,1978.21,2075.74,50873957.43399339
2021-04-05,2077.1,2131.37,2002.22,2107.23,64826930.88682716
2021-04-06,2108.82,2151.63,2043.83,2112.69,69223221.7412904
2021-04-07,2112.69,2129.39,1930.0,1963.08,84198144.38453183
2021-04-08,1963.44,2084.95,1949.0,2081.0,74357701.0915179
2021-04-09,2082.02,2100.0,2048.41,2065.93,49930789.078726016
2021-04-10,2066.78,2197.0,2057.34,2134.22,76223261.89961812
2021-04-11,2135.38,2163.55,2112.32,2148.15,27859702.661825832
2021-04-12,2150.76,2200.0,2098.56,2136.77,58458383.94682898
2021-04-13,2137.73,2317.23,2135.0,2299.69,99306023.47026716
2021-04-14,2300.31,2446.96,2282.31,2432.63,153710792.66403684
2021-04-15,2433.79,2546.0,2400.0,2517.35,117593852.3043746
2021-04-16,2518.24,2548.93,2301.75,2426.19,181717052.2963428
2021-04-17,2427.08,2497.39,2312.87,2317.11,92323389.70614466
2021-04-18,2317.12,2341.68,1951.66,2241.5,261836187.7858433
2021-04-19,2242.95,2280.79,2077.42,2163.77,254910985.55778703
2021-04-20,2164.37,2349.81,2055.0,2333.71,187079492.16775224
2021-04-21,2334.34,2470.53,2238.48,2358.13,184045491.05237368
2021-04-22,2362.05,2645.97,2300.0,2400.0,286822397.089488
2021-04-23,2397.88,2442.89,2106.65,2369.77,287066277.5224799
2021-04-24,2369.69,2369.97,2157.61,2217.33,73490160.98936953
2021-04-25,2217.33,2358.0,2166.0,2321.81,187993137.03943205
2021-04-26,2323.31,2544.98,2306.75,2534.69,132506724.4917788
2021-04-27,2534.92,2683.65,2483.76,2668.89,135799431.0198036
2021-04-28,2669.01,2763.75,2561.44,2750.37,201426923.8845705
2021-04-29,2751.52,2800.89,2671.33,2758.06,172849167.0979429
2021-04-30,2759.56,2802.06,2726.49,2777.11,120057062.70093468
2021-05-01,2776.06,2956.0,2758.57,2947.57,105776873.64955913
2021-05-02,2949.03,2986.01,2853.0,2951.78,86883865.79841435
2021-05-03,2951.93,3457.64,2951.93,3430.16,334989453.3222787
2021-05-04,3434.32,3530.0,3167.66,3238.42,480343299.5343966
2021-05-05,3241.69,3559.97,3208.19,3528.2,235670005.5473134
2021-05-06,3529.26,3610.04,3380.01,3490.33,248995058.88223615
2021-05-07,3494.27,3595.0,3355.2,3483.81,207574483.6451951
2021-05-08,3486.27,3960.0,3452.75,3915.0,222692035.4828073
2021-05-09,3917.16,3985.0,3730.25,3928.05,161341544.64838165
2021-05-10,3929.72,4200.0,3655.0,3950.36,454833016.25090986
2021-05-11,3947.86,4185.0,3775.74,4179.47,304420126.0860476
2021-05-12,4180.12,4380.64,3750.0,3810.19,458835684.309733
2021-05-13,3802.47,4040.65,3543.62,3720.21,350077985.4507604
2021-05-14,3717.15,4178.11,3693.0,4080.31,222064054.8602598
2021-05-15,4079.79,4135.74,3629.61,3646.01,162127196.582023
2021-05-16,3647.66,3881.2,3340.99,3585.36,232727790.7246721
2021-05-17,3582.29,3590.32,3117.09,3281.32,359032511.2511126
2021-05-18,3284.54,3570.48,3243.71,3380.57,250393148.26950407
2021-05-19,3379.1,3441.5,1850.0,2443.76,724175094.7218312
2021-05-20,2443.76,3000.0,2160.0,2774.37,405109558.7672994
2021-05-21,2773.8,2944.36,2102.86,2436.11,294014253.5336619
2021-05-22,2433.97,2489.23,2157.72,2296.31,159942675.6387232
2021-05-23,2291.91,2381.42,1730.0,2098.33,268173600.4063989
2021-05-24,2101.62,2678.99,2084.57,2651.7,293095778.39943653
2021-05-25,2650.14,2788.0,2386.0,2704.31,223544928.03106287
2021-05-26,2713.41,2915.31,2646.36,2889.65,158477124.3457638
2021-05-27,2890.39,2892.98,2642.17,2741.07,133140041.59479745
2021-05-28,2733.35,2763.64,2327.0,2413.17,188170623.17433265
2021-05-29,2410.56,2576.7,2207.96,2279.59,194422700.7736008
2021-05-30,2280.8,2478.83,2182.89,2389.91,115878568.19439349
2021-05-31,2383.08,2722.0,2275.0,2707.27,176754991.91898173
2021-06-01,2705.72,2743.24,2527.04,2634.3,151630166.76161036
